Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2014-06-19,924.2138061523438,929.4722685786019,897.4341422255762,905.5147046440726,1896354
2014-06-20,930.8529052734375,933.5329438095268,918.5087076542626,927.8074519987217,1155674
2014-06-23,921.2899780273438,933.8980713993344,915.280265585895,931.0962949024072,1262734
2014-06-24,937.6138916015625,941.8572034302864,915.6663046929493,921.3511509305108,1479100
2014-06-25,938.22314453125,942.0603965780689,931.0967626523758,937.9997914204048,1028422
2014-06-26,937.0449829101562,951.8661834057269,930.3449881655832,932.3144202145251,2036182
2014-06-27,974.3618774414062,977.3463607506421,940.0294640149109,940.8415845021807,3058836
2014-06-30,984.858642578125,988.7568612336198,965.0429786308453,974.7681032909691,2146470
2014-07-01,970.7883911132812,982.2595913847233,967.3572023636711,982.2189457117482,1092790
2014-07-02,975.1945190429688,979.3159916995139,967.8447874845201,974.5447828667288,907740
2014-07-03,981.81298828125,992.8172601441196,971.2960680019362,974.1384896056209,1526762
2014-07-04,978.8084106445312,984.8993155023068,974.9508375679401,979.579885605521,536136
2014-07-07,1010.5016479492188,1014.3388989768667,978.7679675889938,982.6865100068987,2204902
2014-07-08,994.6243286132812,1009.526720996111,988.0461719335805,1009.0394684894313,2500588
2014-07-09,973.793701171875,1004.0452007409398,967.073480911848,1002.9691803434899,1554242
2014-07-10,954.972900390625,982.503816255808,948.1510656159837,974.3622851371616,1990562
2014-07-11,972.2907104492188,978.6049656355584,958.7486638709578,962.7686197186345,1329446
2014-07-14,985.2039184570312,990.3811878894174,968.5554442038675,982.1787886942925,1587924
2014-07-15,974.2606811523438,986.7267148835826,972.007026235628,985.1836656257337,1389656
2014-07-16,975.2960205078125,984.2902169531178,969.2051156999344,978.4632116992528,1407240
2014-07-17,967.2147827148438,986.644797096424,964.3926850006258,978.6047877269508,1790220
2014-07-18,991.2744750976562,1009.0599376897347,988.7569208348106,995.6599465654848,3507488
2014-07-21,1000.4310913085938,1002.9080988602249,992.0256626973655,1002.1568476304858,981072
2014-07-22,1028.307373046875,1031.3934719084984,999.680113295084,1000.9389402576569,2399016
2014-07-23,1050.133056640625,1054.2546291540075,1028.2667637313223,1031.3934089628212,2065858
2014-07-24,1053.8077392578125,1056.5689693045276,1042.3568578803697,1053.6859013327269,1481418
2014-07-25,1058.0914306640625,1061.5835882513031,1042.3565969546764,1053.3202230231518,1806914
2014-07-28,1053.4337158203125,1057.644461752247,1039.4790457517806,1048.4905366918106,1314922
2014-07-30,1055.772705078125,1061.8549578642105,1046.639144941855,1051.6025850328729,1899252
2014-07-31,1049.6700439453125,1056.9728193484316,1045.27614169013,1047.6562010485559,2407210
2014-08-01,1023.7742919921875,1052.8837751521553,1021.1705502400561,1047.6152059235635,2381882
2014-08-04,1027.700439453125,1034.1488078973023,1012.2201238829653,1030.1211228583875,1828636
2014-08-05,1026.7442626953125,1035.4099929138563,1013.074469339509,1035.3692690971377,1404656
2014-08-06,1019.807861328125,1031.2808559588416,1013.135709257933,1023.6728504810014,1837562
2014-08-07,1004.8160400390625,1015.0684145815749,1000.4424987738313,1013.0342093419324,1672656
2014-08-08,1008.436767578125,1020.2351565868227,1002.8630657392994,1002.8630657392994,1464790
2014-08-11,1004.2461547851562,1015.2919461023973,998.7945258208097,1013.4000761012329,1290896
2014-08-12,1005.6093139648438,1012.9934389145462,992.7734596277918,1012.9934389145462,984552
2014-08-13,1017.1229248046875,1029.307793642803,1004.8973321334876,1004.8973321334876,2768378
2014-08-14,1017.0008544921875,1030.1214775774454,1013.0545164062472,1022.7983391112549,1578056
2014-08-18,1012.0576782226562,1019.1366716605114,1004.8972371263326,1013.461259761457,1373260
2014-08-19,992.0817260742188,1019.095927316108,990.657782649466,1017.1024462520184,3234156
2014-08-20,991.1458740234375,998.8148654409703,988.6438419834471,994.5226736766153,2056758
